,Australian Government capital expenditure,Australian Government recurrent funding,Average ICSEA value,Boys,Completed senior secondary school,"Fees, charges and parent contributions",Full-time equivalent enrolments,Full-time equivalent non-teaching staff,Full-time equivalent teaching staff,Girls,Income allocated to current capital projects,Income allocated to debt servicing(including principal repayments and interest on loans),Income allocated to future capital projects and diocesan capital funds,Indigenous students,"Less
                                           
                            deductions",Location,Name,New school loans,Non-teaching staff,Other,Other private sources,SMCLID,School ICSEA value,School sector,School type,School-based apprenticeships and traineeships,Senior secondary certificate awarded,State/territory government capital expenditure,State/territory government recurrent funding,Subtotal,Teaching staff,Total capital expenditure,Total enrolments,"Total gross income
                            (excluding income from government capital grants)",Total net recurrent income,VET enrolments,Year,Year 3 | Grammar,Year 3 | Numeracy,Year 3 | Reading,Year 3 | Spelling,Year 3 | Writing,Year 5 | Grammar,Year 5 | Numeracy,Year 5 | Reading,Year 5 | Spelling,Year 5 | Writing,Year 7 | Grammar,Year 7 | Numeracy,Year 7 | Reading,Year 7 | Spelling,Year 7 | Writing,Year 9 | Grammar,Year 9 | Numeracy,Year 9 | Reading,Year 9 | Spelling,Year 9 | Writing,Year range
157,,,1000,341,,,735.4,25.4,60.5,395,,,,-,,Provincial,"Cornerstone College, Mount Barker, SA",,35,,,91058,1060,Non-government,Secondary,,,,,,67,,736,,,,2008,,,,,,,,,,,,,,,,588,585,609,579,591,-
158,,,1000,721,92,,1466,62.1,94.9,745,,,,1%,,Metropolitan,"Tyndale Christian School, Salisbury East, SA",,85,,,91110,1025,Non-government,Combined,8,87,,,,109,,1466,,,739,2014,387,379,384,389,372,475,463,474,466,449,536,531,536,533,514,567,576,577,576,538,R-12
159,"83,008","10,485,264",1000,688,104,"5,861,758",1425,58.1,91.3,737,0,"1,304,403",0,1%,"1,304,403",Metropolitan,"Tyndale Christian School, Salisbury East, SA",0,83,"1,117,863","187,307",91110,1023,Non-government,Combined,13,91,0,"2,821,512","1,304,403",104,"1,200,871",1425,"19,355,841","18,051,438",21,2013,388,377,396,396,397,487,475,492,474,482,511,514,520,525,495,566,568,577,568,559,"U, R-12"
160,"150,985","10,053,523",1000,707,94,"5,544,086",1429,59.6,90.4,722,"2,626","629,806",0,0%,"632,432",Metropolitan,"Tyndale Christian School, Salisbury East, SA",0,87,"1,707,402","225,536",91110,1016,Non-government,Combined,10,86,0,"2,681,486","632,432",105,"1,861,013",1429,"18,504,631","17,872,199",59,2012,397,373,393,384,399,473,480,484,480,463,550,521,533,534,509,573,579,576,576,558,"U, R-12"
161,"528,838","9,482,140",1000,701,79,"5,009,255",1402,58.7,81.8,701,984,"1,610,043",0,1%,"1,611,027",Metropolitan,"Tyndale Christian School, Salisbury East, SA",0,81,"1,169,251","237,206",91110,1022,Non-government,Combined,18,74,0,"2,537,608","1,611,027",92,"1,699,073",1402,"17,266,209","15,655,182",620,2011,408,384,404,397,429,492,471,477,473,474,528,533,527,519,526,583,582,580,578,596,"U, R-12"
162,"3,043,665","9,059,902",1000,695,75,"4,500,533",1374.8,56.9,80.7,680,"3,409","1,305,470",0,1%,"1,308,879",Metropolitan,"Tyndale Christian School, Salisbury East, SA",0,75,"944,030","155,989",91110,1022,Non-government,Combined,,70,0,"2,471,269","1,308,879",88,"3,991,104",1375,"16,187,693","14,878,814",,2010,405,387,415,396,431,506,483,486,486,486,529,535,538,537,519,586,581,571,575,573,"U, R-12"
163,"355,892","8,028,297",1000,688,63,"4,098,613",1359.4,49.2,89.4,672,0,"1,000,513",0,1%,"1,000,513",Metropolitan,"Tyndale Christian School, Salisbury East, SA",0,66,"804,810","86,805",91110,970,Non-government,Combined,,61,0,"2,293,700","1,000,513",97,"1,160,702",1360,"14,507,415","13,506,902",,2009,407,389,403,402,439,486,470,480,470,466,551,541,548,542,526,561,579,573,561,555,"U, R-12"
164,,,1000,679,,,1312,46.7,83.2,633,,,,1%,,Metropolitan,"Tyndale Christian School, Salisbury East, SA",,59,,,91110,970,Non-government,Combined,,,,,,89,,1312,,,,2008,408,394,408,410,436,502,463,486,487,471,534,538,531,548,520,581,584,589,592,584,-
165,,,1000,192,21,,402.7,12.5,31.6,213,,,,-,,Provincial,"Horizon Christian School, Balaklava, SA",,19,,,91113,991,Non-government,Combined,,21,,,,45,,405,,,145,2014,438,406,418,425,394,470,458,454,491,462,507,508,496,515,471,552,554,557,553,517,R-12
166,"42,125","3,057,957",1000,178,18,"694,756",389.4,12.2,31,212,0,"17,921","8,974",-,"26,895",Provincial,"Horizon Christian School, Balaklava, SA","466,003",18,"65,267","88,655",91113,1003,Non-government,Combined,3,14,0,"1,052,528","26,895",38,"573,395",390,"4,893,896","4,867,001",6,2013,393,384,410,409,442,466,437,451,472,463,528,534,544,558,509,588,578,583,577,580,"U, R-12"
167,"87,576","2,960,218",1000,175,19,"644,642",392,12.6,29.8,218,0,0,"12,631",-,"12,631",Provincial,"Horizon Christian School, Balaklava, SA","66,897",19,"190,418","94,040",91113,1014,Non-government,Combined,,19,0,"1,051,313","12,631",36,"344,891",393,"4,750,213","4,737,582",27,2012,408,375,420,403,420,452,448,455,477,436,514,495,505,511,467,575,571,574,564,561,"U, R-12"
168,"1,384,950","2,717,547",1000,175,17,"567,613",382.6,10,31.7,209,0,0,"12,423",1%,"12,423",Provincial,"Horizon Christian School, Balaklava, SA","437,358",16,"183,327","-171,297",91113,1020,Non-government,Combined,1,14,0,"935,548","12,423",41,"2,005,635",384,"4,049,411","4,036,988",22,2011,390,374,384,404,444,461,468,466,468,463,534,540,542,534,537,546,555,564,551,557,"U, R-12"
169,"1,284,142","2,658,904",1000,181,16,"554,929",391.4,11.8,31.3,214,0,0,"13,659",1%,"13,659",Provincial,"Horizon Christian School, Balaklava, SA","392,544",18,"43,001","-153,271",91113,1025,Non-government,Combined,,15,0,"850,184","13,659",36,"1,719,687",395,"3,910,746","3,897,087",,2010,391,369,374,393,404,441,436,434,431,439,509,511,528,519,504,558,543,561,559,556,"U, R-12"
170,"1,152,172","2,181,846",1000,148,8,"424,029",348.6,9.7,26.4,201,0,"119,214",0,1%,"119,214",Provincial,"Horizon Christian School, Balaklava, SA","242,580",16,"135,325","42,893",91113,986,Non-government,Combined,,10,0,"638,850","119,214",32,"1,530,077",349,"3,287,618","3,168,404",,2009,374,381,381,379,399,505,487,484,471,488,522,517,528,525,494,579,580,589,571,579,"U, R-12"
171,,,1000,136,,,287.2,7.8,21.3,153,,,,-,,Provincial,"Horizon Christian School, Balaklava, SA",,12,,,91113,986,Non-government,Combined,,,,,,26,,289,,,,2008,369,383,371,367,404,493,438,468,457,430,508,527,507,513,491,573,562,584,596,578,-
172,,,1000,22,,,47,2.9,4,25,,,,4%,,Provincial,"Riverland Christian School, Glossop, SA",,7,,,91112,986,Non-government,Primary,,,,,,6,,47,,,,2014,454,454,476,458,430,525,478,480,500,441,473,510,516,479,436,,,,,,R-7
173,670,"432,584",1000,21,,"49,476",46,3.2,4,25,"10,217",0,0,4%,"10,217",Provincial,"Riverland Christian School, Glossop, SA",0,7,"47,209","24,549",91112,965,Non-government,Primary,,,0,"136,952","10,217",5,"58,096",46,"643,561","633,344",,2013,405,418,379,384,380,,,,,,565,526,507,549,500,,,,,,"U, R-7"
174,186,"502,511",1000,28,,"48,363",55,4.1,4.3,27,"11,663",0,0,4%,"11,663",Provincial,"Riverland Christian School, Glossop, SA",0,8,346,"15,214",91112,947,Non-government,Primary,,,0,"163,633","11,663",6,"12,195",55,"729,721","718,058",,2012,388,370,425,410,398,459,442,423,438,443,530,501,494,481,439,,,,,,"U, R-7"
175,"18,031","459,862",1000,27,,"44,681",54,3.4,4.5,27,"11,928",0,0,7%,"11,928",Provincial,"Riverland Christian School, Glossop, SA",0,7,0,208,91112,948,Non-government,Primary,,,0,"163,455","11,928",5,"29,959",54,"668,206","656,278",,2011,-,-,-,-,-,480,442,450,464,469,496,557,527,531,486,,,,,,"U, R-7"
176,"501,965","429,451",1000,27,,"51,928",52,3.1,3.9,25,0,0,"10,266",13%,"10,266",Provincial,"Riverland Christian School, Glossop, SA",0,6,"14,689","13,590",91112,926,Non-government,Primary,,,0,"175,075","10,266",5,"516,654",52,"670,044","659,778",,2010,380,365,450,346,418,497,473,494,444,446,490,510,509,469,457,,,,,,"U, R-7"
177,"441,193","423,228",1000,35,,"53,882",61,3.6,5.7,26,"11,456",0,0,8%,"11,456",Provincial,"Riverland Christian School, Glossop, SA",0,7,"42,288","21,238",91112,992,Non-government,Primary,,,0,"154,304","11,456",6,"494,937",61,"652,652","641,196",,2009,423,364,392,396,414,484,459,432,463,436,527,541,495,554,521,,,,,,"U, R-7"
178,,,1000,37,,,59.3,2,4.6,23,,,,7%,,Provincial,"Riverland Christian School, Glossop, SA",,3,,,91112,992,Non-government,Primary,,,,,,5,,60,,,,2008,409,381,385,376,387,507,467,490,465,436,561,574,591,512,501,,,,,,-
179,,,1000,523,94,,1109.8,35,76.3,589,,,,1%,,Metropolitan,"Tatachilla Lutheran College, Mclaren Vale, SA",,54,,,91115,1062,Non-government,Combined,,90,,,,86,,1112,,,322,2014,427,399,411,408,407,514,482,505,497,459,550,540,554,566,508,585,571,580,590,560,R-12
180,"77,317","7,436,578",1000,523,117,"5,737,310",1102,34,76.4,580,"156,785","1,730",0,1%,"158,515",Metropolitan,"Tatachilla Lutheran College, Mclaren Vale, SA","109,074",53,"396,233","287,480",91115,1069,Non-government,Combined,,106,0,"1,722,249","158,515",87,"739,409",1103,"15,183,617","15,025,102",37,2013,460,401,455,424,419,520,490,515,504,485,525,532,544,540,512,576,570,586,580,564,"U, R-12"
181,"30,576","7,099,734",1000,520,103,"5,342,209",1104.3,32.5,74.5,586,"141,200","1,316,640",0,1%,"1,457,840",Metropolitan,"Tatachilla Lutheran College, Mclaren Vale, SA",0,47,"299,196","303,713",91115,1064,Non-government,Combined,,94,0,"1,678,893","1,457,840",85,"470,972",1106,"14,424,549","12,966,709",63,2012,388,381,395,391,398,510,490,494,509,480,546,530,540,547,490,569,576,575,575,562,"U, R-12"
182,"424,280","6,438,164",1000,481,114,"4,683,316",1037,32.7,73.1,559,"93,165","677,758","30,451",1%,"801,374",Metropolitan,"Tatachilla Lutheran College, Mclaren Vale, SA","330,000",45,0,"237,192",91115,1080,Non-government,Combined,,107,0,"1,562,752","801,374",81,"847,445",1040,"12,921,424","12,120,050",34,2011,405,379,426,399,406,496,488,512,477,475,551,528,541,540,520,563,567,569,576,582,"U, R-12"
183,"2,869,890","6,298,004",1000,498,117,"5,352,678",1053.6,33.1,73.7,558,"619,836","1,162,978",0,1%,"1,782,814",Metropolitan,"Tatachilla Lutheran College, Mclaren Vale, SA","1,400,000",47,0,"335,679",91115,1078,Non-government,Combined,,112,0,"1,548,141","1,782,814",81,"4,889,726",1056,"13,534,502","11,751,688",,2010,382,377,410,407,411,511,482,508,499,489,526,518,534,524,512,595,587,587,592,594,"U, R-12"
184,"1,432,936","6,127,010",1000,511,99,"4,386,187",1095,32,73.8,587,0,"1,127,932",0,1%,"1,127,932",Metropolitan,"Tatachilla Lutheran College, Mclaren Vale, SA","340,000",45,"641,878","60,467",91115,1018,Non-government,Combined,,94,0,"1,447,653","1,127,932",81,"2,414,815",1098,"12,021,318","10,893,386",,2009,414,379,421,389,425,523,463,509,490,507,537,537,532,522,523,594,591,597,587,601,"U, R-12"
185,,,1000,495,,,1080.2,31.1,73.4,588,,,,1%,,Metropolitan,"Tatachilla Lutheran College, Mclaren Vale, SA",,42,,,91115,1018,Non-government,Combined,,,,,,81,,1083,,,,2008,394,386,407,398,417,486,450,495,479,492,554,536,553,547,541,586,571,593,585,587,-
186,,,1000,59,12,,126,1.7,14.2,67,,,,-,,Metropolitan,"Meridian School Incorporated, Aberfoyle Park, SA",,2,,,91114,1033,Non-government,Combined,,10,,,,20,,126,,,352,2014,482,425,474,441,399,514,482,526,499,466,661,626,610,614,597,642,639,633,635,622,3-12
187,"6,388","909,085",1000,62,8,"368,493",126,1.8,15.6,64,0,"36,254",0,-,"36,254",Metropolitan,"Meridian School Incorporated, Aberfoyle Park, SA",0,2,"63,691","1,106,941",91114,1025,Non-government,Combined,,8,0,"151,944","36,254",22,"70,079",126,"2,536,463","2,500,209",,2013,443,387,446,420,407,536,503,502,494,497,609,589,581,607,592,588,631,610,555,592,"U, 3-12"
188,408,"796,990",1000,61,19,"352,349",121,1.6,14.8,60,0,"32,388",0,-,"32,388",Metropolitan,"Meridian School Incorporated, Aberfoyle Park, SA",0,2,"127,738","742,914",91114,969,Non-government,Combined,,18,0,"154,923","32,388",23,"128,146",121,"2,047,176","2,014,788",,2012,435,403,422,418,408,562,519,535,542,516,614,557,585,595,598,-,-,-,-,-,"U, 3-12"
189,"88,244","803,249",1000,63,9,"326,491",125,1.8,15.4,62,"21,284","4,641",0,-,"25,925",Metropolitan,"Meridian School Incorporated, Aberfoyle Park, SA","27,627",2,"230,353","679,803",91114,958,Non-government,Combined,14,8,0,"142,053","25,925",24,"367,508",125,"1,951,596","1,925,671",20,2011,414,379,396,416,410,531,497,537,524,526,541,566,547,494,518,630,617,628,606,611,"U, 3-12"
190,"208,196","488,890",1000,35,9,"288,159",68,3.1,11.3,33,"143,346","14,470",0,-,"157,816",Metropolitan,"Meridian School Incorporated, Aberfoyle Park, SA",0,6,"225,705","795,179",91114,943,Non-government,Combined,,9,0,"110,038","157,816",20,"577,247",68,"1,682,266","1,524,450",,2010,,,,,,,,,,,-,-,-,-,-,629,603,636,621,615,"U, 7-12"
191,577,"590,377",1000,35,9,"236,409",74,1.6,11.4,39,"17,701","2,514",0,-,"20,215",Metropolitan,"Meridian School Incorporated, Aberfoyle Park, SA",0,3,"335,692","648,551",91114,1072,Non-government,Combined,,9,0,"96,864","20,215",21,"353,970",74,"1,572,201","1,551,986",,2009,,,,,,,,,,,614,555,589,578,524,610,627,605,614,574,"U, 7-12"
192,,,1000,34,,,71,1.3,10.4,37,,,,-,,Metropolitan,"Meridian School Incorporated, Aberfoyle Park, SA",,3,,,91114,1072,Non-government,Combined,,,,,,19,,71,,,,2008,,,,,,,,,,,567,553,580,593,585,605,611,610,603,614,-
193,,,1000,252,74,,470.7,15,37.4,219,,,,0%,,Metropolitan,"Endeavour College, Mawson Lakes, SA",,21,,,91117,1065,Non-government,Secondary,,72,,,,41,,471,,,276,2014,,,,,,,,,,,,,,,,596,612,594,595,585,8-12
194,"55,132","3,186,695",1000,247,82,"3,355,324",469.8,14.7,37.9,223,"208,494","988,058",0,0%,"1,196,552",Metropolitan,"Endeavour College, Mawson Lakes, SA","300,000",20,991,"132,862",91117,1071,Non-government,Secondary,,79,0,"907,307","1,196,552",41,"564,617",470,"7,582,188","6,385,636",,2013,,,,,,,,,,,,,,,,595,603,597,598,580,"U, 8-12"
195,"1,577","3,004,179",1000,246,87,"3,188,220",467.3,15.3,39,222,"329,616","997,809",0,-,"1,327,425",Metropolitan,"Endeavour College, Mawson Lakes, SA",0,21,"5,360","140,916",91117,1055,Non-government,Secondary,,78,0,"875,892","1,327,425",42,"336,553",468,"7,209,207","5,881,782",7,2012,,,,,,,,,,,,,,,,589,607,583,596,583,"U, 8-12"
196,"358,162","2,847,721",1000,261,78,"2,839,359",461,13.3,39.8,201,"96,950","990,142",0,-,"1,087,092",Metropolitan,"Endeavour College, Mawson Lakes, SA","100,000",18,0,"190,330",91117,1048,Non-government,Secondary,,77,0,"799,429","1,087,092",45,"555,112",462,"6,676,839","5,589,747",42,2011,,,,,,,,,,,,,,,,583,596,592,600,595,"U, 8-12"
197,"211,221","2,953,382",1000,269,69,"2,856,595",497.6,14,38.3,229,"300,629","922,550",0,1%,"1,223,179",Metropolitan,"Endeavour College, Mawson Lakes, SA",0,19,0,"144,654",91117,1054,Non-government,Secondary,,65,0,"901,169","1,223,179",42,"511,850",498,"6,855,800","5,632,621",,2010,,,,,,,,,,,,,,,,585,584,570,584,572,"U, 8-12"
198,"361,762","2,698,089",1000,265,65,"2,597,465",482.7,13.8,38.6,219,0,"798,554",0,1%,"798,554",Metropolitan,"Endeavour College, Mawson Lakes, SA","239,302",20,"115,774","144,510",91117,1032,Non-government,Secondary,,64,0,"790,493","798,554",42,"716,838",484,"6,230,557","5,432,003",,2009,,,,,,,,,,,,,,,,589,593,592,588,587,"U, 8-12"
199,,,1000,258,,,471.2,12.8,38.2,214,,,,-,,Metropolitan,"Endeavour College, Mawson Lakes, SA",,19,,,91117,1032,Non-government,Secondary,,,,,,42,,472,,,,2008,,,,,,,,,,,,,,,,593,603,594,597,594,-
200,,,1000,288,32,,630,14.8,46.8,342,,,,-,,Metropolitan,"Islamic College of South Australia, West Croydon, SA",,16,,,91116,1022,Non-government,Combined,,30,,,,52,,630,,,489,2014,386,349,379,428,406,490,467,471,513,470,530,537,539,544,519,571,571,563,574,557,R-12
201,"150,934","5,596,354",1000,327,21,"1,264,777",684,8.2,43.4,357,0,"243,749",0,-,"243,749",Metropolitan,"Islamic College of South Australia, West Croydon, SA",0,12,"39,537","61,748",91116,1008,Non-government,Combined,,19,0,"799,170","243,749",49,"190,471",684,"7,722,049","7,478,300",,2013,393,344,372,404,409,475,450,469,494,470,516,527,512,534,514,514,535,531,547,510,"U, R-12"
202,"662,856","4,475,350",1000,287,19,"848,490",618.8,7.4,38.2,332,0,0,0,-,0,Metropolitan,"Islamic College of South Australia, West Croydon, SA",0,9,0,"433,254",91116,1016,Non-government,Combined,,18,0,"951,674",0,46,"662,856",619,"6,708,768","6,708,768",,2012,393,353,387,417,392,484,471,483,524,481,540,538,534,564,538,575,579,562,570,543,"U, R-12"
203,"658,320","3,470,408",1000,234,14,"710,300",536.4,7.5,33,303,0,"180,288",0,-,"180,288",Metropolitan,"Islamic College of South Australia, West Croydon, SA",0,10,"800,158","231,036",91116,982,Non-government,Combined,,14,0,"1,352,737","180,288",39,"1,458,478",537,"5,764,481","5,584,193",2,2011,402,368,393,411,405,485,455,454,475,489,506,486,495,513,512,549,547,538,590,565,"U, R-12"
204,"4,269,054","2,826,218",1000,208,13,"713,213",470,9.1,33.5,262,0,"532,245",0,1%,"532,245",Metropolitan,"Islamic College of South Australia, West Croydon, SA",0,13,0,"184,863",91116,982,Non-government,Combined,,13,0,"1,104,566","532,245",39,"4,269,054",470,"4,828,860","4,296,615",,2010,409,376,402,412,418,516,478,464,482,471,527,534,543,564,558,585,592,576,592,585,"U, R-12"
205,"393,616","2,591,121",1000,213,10,"584,833",454,7.9,32.6,241,0,"950,513",0,1%,"950,513",Metropolitan,"Islamic College of South Australia, West Croydon, SA","61,432",12,0,"332,412",91116,982,Non-government,Combined,,9,0,"899,492","950,513",37,"455,048",454,"4,407,858","3,457,345",,2009,399,362,400,424,430,495,462,490,499,517,538,548,547,572,554,583,594,575,595,613,"U, R-12"
206,,,1000,217,,,449,9.6,37.4,232,,,,1%,,Metropolitan,"Islamic College of South Australia, West Croydon, SA",,15,,,91116,982,Non-government,Combined,,,,,,39,,449,,,,2008,384,397,387,417,440,503,457,465,500,516,549,560,549,575,580,558,594,567,586,569,-
207,,,1000,233,,,391,22.7,43.2,158,,,,0%,,Metropolitan,"St Andrew's School, Walkerville, SA",,32,,,91119,1185,Non-government,Primary,,,,,,55,,391,,,,2014,487,444,470,479,428,577,553,558,538,524,597,617,615,584,600,,,,,,R-7
208,"1,672","1,591,059",1000,266,,"7,832,564",453,20.9,47,187,0,0,0,0%,0,Metropolitan,"St Andrew's School, Walkerville, SA","50,000",28,"319,347","305,751",91119,1187,Non-government,Primary,,,0,"479,589",0,61,"371,019",453,"10,208,963","10,208,963",,2013,491,453,496,461,467,538,547,535,532,515,602,630,601,591,572,,,,,,"U, R-7"
209,"1,424","1,476,138",1000,249,,"7,576,031",422,19.2,44.2,173,0,"668,441",0,0%,"668,441",Metropolitan,"St Andrew's School, Walkerville, SA",0,25,"484,119","286,533",91119,1167,Non-government,Primary,,,0,"484,316","668,441",62,"485,543",422,"9,823,018","9,154,577",,2012,483,456,479,470,451,544,555,555,543,510,630,654,618,613,584,,,,,,"U, R-7"
210,"3,152","1,497,852",1000,279,,"7,026,409",467,18.5,43,188,0,"1,111,892",0,-,"1,111,892",Metropolitan,"St Andrew's School, Walkerville, SA",0,24,"152,832","227,262",91119,1179,Non-government,Primary,,,0,"497,493","1,111,892",58,"155,984",467,"9,249,016","8,137,124",,2011,448,424,455,434,412,570,556,547,521,530,591,628,596,588,595,,,,,,"U, R-7"
211,"1,927,618","1,465,869",1000,303,,"6,589,025",500,24.8,46.3,197,0,"317,100",0,-,"317,100",Metropolitan,"St Andrew's School, Walkerville, SA","1,261,258",30,"716,120","115,759",91119,1183,Non-government,Primary,,,0,"501,428","317,100",59,"3,904,996",500,"8,672,081","8,354,981",,2010,473,436,481,440,451,592,570,571,558,558,595,629,601,594,589,,,,,,"U, R-7"
212,"1,398,738","1,366,399",1000,311,,"6,600,567",511,24.3,47.4,200,0,"668,742",0,-,"668,742",Metropolitan,"St Andrew's School, Walkerville, SA",0,31,"865,927","304,527",91119,1128,Non-government,Primary,,,0,"473,671","668,742",59,"2,264,665",511,"8,745,164","8,076,422",,2009,461,437,443,445,435,558,565,552,546,532,612,611,601,600,623,,,,,,"U, R-7"
213,,,1000,302,,,509,22.5,47.4,207,,,,-,,Metropolitan,"St Andrew's School, Walkerville, SA",,28,,,91119,1128,Non-government,Primary,,,,,,68,,509,,,,2008,486,490,477,469,486,560,536,545,535,547,603,641,609,606,613,,,,,,-
214,,,1000,188,,,378,10.7,22.8,190,,,,-,,Provincial,"The Hills Christian Community School Incorporated, Verdun, SA",,21,,,91051,1081,Non-government,Primary,,,,,,26,,378,,,,2014,431,393,427,408,423,502,486,507,509,485,562,545,564,558,531,592,583,590,576,553,R-7
215,"88,034","2,042,873",1000,178,,"1,542,273",374,9.5,19.7,196,0,0,0,0%,0,Provincial,"The Hills Christian Community School Incorporated, Verdun, SA",0,16,"184,924","158,291",91051,1078,Non-government,Combined,,,0,"493,090",0,24,"272,958",374,"4,236,527","4,236,527",,2013,466,398,451,424,436,495,466,497,480,473,530,541,549,543,538,,,,,,"U, R-7"
216,"1,181","1,779,358",1000,170,,"1,292,481",350,9.6,20,180,0,0,0,0%,0,Provincial,"The Hills Christian Community School Incorporated, Verdun, SA",0,17,"175,950","170,992",91051,1086,Non-government,Primary,,,0,"464,337",0,23,"177,131",350,"3,707,168","3,707,168",,2012,443,393,413,417,438,497,492,531,493,486,563,561,573,553,525,,,,,,"U, R-7"
217,"269,450","1,601,677",1000,164,,"1,178,485",335,9.5,14,171,"1,630",0,0,1%,"1,630",Provincial,"The Hills Christian Community School Incorporated, Verdun, SA","154,313",17,"52,002","108,424",91051,1103,Non-government,Primary,,,0,"442,213","1,630",14,"477,395",335,"3,330,799","3,329,169",,2011,388,375,384,384,395,496,474,493,482,480,555,558,563,541,531,,,,,,"U, R-7"
218,"2,483,341","1,456,486",1000,155,,"891,847",318,7.9,18.3,163,"202,629","20,814",0,1%,"223,443",Provincial,"The Hills Christian Community School Incorporated, Verdun, SA","624,773",12,"10,688","408,747",91051,1108,Non-government,Primary,,,0,"403,036","223,443",22,"3,321,431",318,"3,160,116","2,936,673",,2010,448,391,426,403,435,507,506,505,494,498,548,580,561,556,564,,,,,,"U, R-7"
219,"262,162","1,327,999",1000,156,,"835,547",317,7.6,19.5,161,"54,119","63,336",0,2%,"117,455",Provincial,"The Hills Christian Community School Incorporated, Verdun, SA",0,14,"129,763","149,703",91051,1079,Non-government,Primary,,,0,"359,414","117,455",22,"446,044",317,"2,672,663","2,555,208",,2009,425,378,409,396,406,522,481,515,492,496,556,551,557,541,544,,,,,,"U, R-7"
220,,,1000,159,,,315,7.3,17.4,156,,,,2%,,Provincial,"The Hills Christian Community School Incorporated, Verdun, SA",,14,,,91051,1079,Non-government,Primary,,,,,,20,,315,,,,2008,423,402,426,403,433,499,478,488,463,494,557,581,566,550,569,,,,,,-
221,,,1000,421,113,,871,34.3,64.9,451,,,,1%,,Metropolitan,"Temple Christian College, Mile End, SA",,56,,,91052,1026,Non-government,Combined,,107,,,,75,,872,,,412,2014,,,,,,,,,,,520,521,519,546,497,580,582,586,595,556,7-12
222,"1,421,552","6,016,430",1000,382,109,"3,506,655",819,31.8,59.8,437,"26,476","347,505",0,1%,"373,981",Metropolitan,"Temple Christian College, Mile End, SA","2,484,989",52,"499,742","213,934",91052,1024,Non-government,Combined,,95,0,"2,013,995","373,981",68,"4,432,759",819,"11,751,014","11,377,033",,2013,,,,,,,,,,,514,518,515,537,510,567,570,576,585,560,"U, 7-12"
223,"666,673","5,489,973",1000,360,98,"3,102,909",786.4,27.9,55.7,427,"34,183","188,098",0,1%,"222,281",Metropolitan,"Temple Christian College, Mile End, SA",0,47,"2,972,555","235,098",91052,1022,Non-government,Combined,,88,0,"1,794,996","222,281",63,"3,673,411",787,"10,622,976","10,400,695",29,2012,,,,,,,,,,,532,528,529,552,500,570,584,571,576,562,"U, 7-12"
224,"1,158,897","4,687,682",1000,319,112,"2,673,761",716,27.2,52.5,397,"23,694","365,517",0,1%,"389,211",Metropolitan,"Temple Christian College, Mile End, SA",0,48,"1,855,529","297,859",91052,1025,Non-government,Combined,,100,0,"1,551,181","389,211",60,"3,038,120",716,"9,210,483","8,821,272",61,2011,,,,,,,,,,,535,524,525,533,511,571,578,573,585,574,"U, 7-12"
225,"2,669,733","4,278,491",1000,319,92,"2,419,760",691.4,22.6,49.9,374,"20,483","324,588",0,1%,"345,071",Metropolitan,"Temple Christian College, Mile End, SA","251,416",42,"667,408","231,193",91052,999,Non-government,Combined,,84,0,"1,546,896","345,071",57,"3,609,040",693,"8,476,340","8,131,269",,2010,,,,,,,,,,,509,524,514,517,509,577,580,573,582,575,"U, 7-12"
226,"803,442","3,711,936",1000,314,94,"2,072,447",652.4,17.9,46.8,342,0,"294,090",0,1%,"294,090",Metropolitan,"Temple Christian College, Mile End, SA",0,34,"590,408","267,881",91052,1018,Non-government,Combined,,84,0,"1,399,640","294,090",57,"1,393,850",656,"7,451,904","7,157,814",,2009,,,,,,,,,,,516,530,516,533,525,595,596,585,586,595,"U, 7-12"
227,,,1000,322,,,648.6,16.6,49.8,328,,,,-,,Metropolitan,"Temple Christian College, Mile End, SA",,30,,,91052,1018,Non-government,Combined,,,,,,59,,650,,,,2008,,,,,,,,,,,528,521,524,554,532,582,594,587,594,590,-
228,,,1000,391,130,,754.5,34.7,71.2,364,,,,1%,,Metropolitan,"Concordia College, Highgate, SA",,48,,,91053,1144,Non-government,Secondary,8,129,,,,83,,755,,,556,2014,,,,,,,,,,,547,552,565,551,528,609,609,611,600,598,8-12
229,"94,050","5,222,462",1000,390,130,"8,834,781",748,35.6,68,358,"334,933","1,882,648",0,1%,"2,217,581",Metropolitan,"Concordia College, Highgate, SA",0,49,"29,219","456,788",91053,1160,Non-government,Secondary,4,122,0,"986,036","2,217,581",80,"458,202",748,"15,500,067","13,282,486",14,2013,,,,,,,,,,,570,581,581,572,531,626,614,620,616,606,"U, 8-12"
230,"2,547","4,945,700",1000,392,129,"8,677,049",754.8,34.6,70,366,"763,912","1,951,788",0,1%,"2,715,700",Metropolitan,"Concordia College, Highgate, SA",0,47,"325,057","399,426",91053,1151,Non-government,Secondary,12,126,0,"1,002,432","2,715,700",82,"1,091,516",758,"15,024,607","12,308,907",67,2012,,,,,,,,,,,574,564,580,561,543,617,620,614,601,604,"U, 8-12"
231,"420,836","4,664,154",1000,393,143,"7,961,768",741,34.6,68.4,348,"705,184","2,070,512",0,1%,"2,775,696",Metropolitan,"Concordia College, Highgate, SA",0,45,"327,149","178,782",91053,1149,Non-government,Secondary,5,142,0,"969,759","2,775,696",78,"1,453,169",741,"13,774,463","10,998,767",45,2011,,,,,,,,,,,582,575,576,565,558,618,612,625,607,639,"U, 8-12"
